Date,Momentum_Value,Momentum_Return,Contrarian_Value,Contrarian_Return,Momentum_DD,Contrarian_DD
2018-05-16,74646.88150507466,0.0032164454460144047,115703.00201550884,-0.0032164454460144047,-28.86378308269285,-26.608158323195862
2018-05-17,74736.4744068254,0.0012002229690551754,115564.13261490119,-0.0012002229690551754,-28.778403761217007,-26.696244897317634
2018-05-18,74878.36452316538,0.001898539066314697,115344.72959446703,-0.001898539066314697,-28.643186778392394,-26.83541494008763
2018-05-21,74651.30528881785,-0.003032374382019043,115694.49799759021,0.003032374382019043,-28.85956735078812,-26.613552526680905
2018-05-22,74934.82531151865,0.0037979245185852046,115255.09902697976,-0.0037979245185852046,-28.589381357366918,-26.89226871487168
2018-05-23,74704.72650397076,-0.0030706524848937993,115609.00738320364,0.0030706524848937993,-28.808658550949716,-26.667780278136043
2018-05-24,74905.872301477,0.0026925444602966305,115297.7249908136,-0.0026925444602966305,-28.616972698910004,-26.86523054010941
2018-05-25,74594.98188542433,-0.0041504144668579115,115776.25833661127,0.0041504144668579115,-28.913241848108562,-26.561690934912775
2018-05-28,74892.27398607938,0.003985416889190674,115314.84168126924,-0.003985416889190674,-28.6299314815722,-26.854373212174377
2018-05-29,74766.7590613725,-0.0016759395599365238,115508.10238629072,0.0016759395599365238,-28.749543402797606,-26.731785562604305
2018-05-30,75344.58186462529,0.007728338241577147,114615.41670140674,-0.007728338241577147,-28.19889577434761,-27.298027106132906
2018-05-31,74384.90445361669,-0.012737178802490236,116075.29375745446,0.012737178802490236,-29.113439277085984,-26.37200907808993
2018-06-01,74173.45222339073,-0.0028426766395568846,116405.25828344848,0.0028426766395568846,-29.31494684731154,-26.16270850827872
2018-06-04,73880.21244691696,-0.0039534330368041996,116865.458677204,0.0039534330368041996,-29.594395471653645,-25.870797720747206
2018-06-05,73979.85367124637,0.0013486862182617188,116707.84384369523,-0.0013486862182617188,-29.49944040313788,-25.97077475423196
2018-06-06,73527.147067652,-0.006119322776794433,117422.01681075852,0.006119322776794433,-29.93085608325571,-25.51776603003709
2018-06-07,73419.73754683562,-0.001460814476013184,117593.54859271833,0.001460814476013184,-30.03321410301114,-25.408961304447974
